Saison;Equipes;Classement;Nombre.de.points;Nombre.Victoires;Nombre.Defaites;LF.tentes;LF.reussis;Deux.points.tentes;Deux.points.reussis;Trois.pts.tentes;Trois.points.reussis;Rebonds.O;Rebonds.D;Contres.Pr;Contres.Ct;Pd;In;Bp;Fautes;Fautes.pr
2008_2009;Lyon;1;52;22;8;570;428;1117;623;596;231;318;741;74;79;576;248;469;589;595
2008_2009;Orleans;2;51;21;9;513;346;1141;584;751;243;333;748;59;93;502;361;411;553;530
2008_2009;Le Mans;3;50;20;10;458;348;1132;593;688;268;342;737;85;72;532;245;421;553;509
2008_2009;Nancy;4;50;20;10;594;396;1174;643;717;250;368;816;114;83;513;236;421;551;546
2008_2009;Roanne;5;49;19;11;646;450;1054;583;735;259;356;702;80;86;522;201;439;430;625
2008_2009;Gravelines-Dunkerque;6;47;17;13;518;336;1092;609;734;256;301;709;86;83;423;248;418;513;528
2008_2009;Chalon sur Saone;7;46;16;14;432;311;1141;582;713;268;324;704;112;84;510;252;423;545;506
2008_2009;Strasbourg;8;46;16;14;531;383;1200;630;688;245;352;721;96;83;486;247;429;548;542
2008_2009;Cholet;9;45;15;15;464;303;1327;690;645;209;388;726;83;83;447;239;411;598;539
2008_2009;Vichy;10;43;13;17;446;286;1341;605;599;177;391;705;109;75;396;271;383;569;498
2008_2009;Paris;11;43;13;17;559;394;1177;618;694;246;335;721;39;58;494;240;416;583;585
2008_2009;Dijon;12;41;11;19;594;413;1193;683;698;223;306;711;57;93;493;239;405;548;574
2008_2009;Rouen;13;41;11;19;528;332;1274;625;683;223;380;690;57;93;420;255;419;508;551
2008_2009;Le Havre;14;40;10;20;558;402;1145;585;782;238;358;740;90;80;486;252;473;507;576
2008_2009;Besancon;15;39;9;21;494;358;1222;631;638;216;296;707;93;84;492;237;473;586;534
2008_2009;Pau-Lacq-Orthez;16;37;7;23;442;301;1132;601;711;244;295;705;58;63;474;202;477;643;522
2009_2010;Cholet;1;53;23;7;547;394;1206;618;655;222;386;687;108;87;471;257;423;570;579
2009_2010;Le Mans;2;52;22;8;561;398;1215;657;629;226;328;734;71;64;547;262;408;540;543
2009_2010;Roanne;3;51;21;9;611;439;1114;607;780;279;381;785;68;79;593;228;438;482;599
2009_2010;Gravelines-Dunkerque;4;50;20;10;637;412;1175;607;697;232;319;783;89;103;432;185;346;467;597
